@relation 'mario-weka.filters.unsupervised.attribute.Remove-R2-3,5-6-weka.filters.unsupervised.attribute.Remove-R2_clustered'

@attribute Instance_number numeric
@attribute enemigoDelante {0,1}
@attribute monedaEncima {0,1}
@attribute bloqueEncima {0,1}
@attribute obstaculoDelante {0,1}
@attribute left {Si,No}
@attribute right {Si,No}
@attribute down {Si,No}
@attribute jump {Si,No}
@attribute speed {Si,No}
@attribute up {Si,No}
@attribute Puntuacion+Distancia numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
370,0,0,0,0,No,Si,No,Si,No,No,12,cluster0
371,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
372,0,0,0,0,No,Si,No,Si,No,No,12,cluster0
373,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
374,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
375,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
376,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
377,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
378,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
379,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
380,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
381,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
382,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
383,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
384,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
385,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
386,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
387,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
388,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
